covariate,beta,se,pvalue,ci_low,ci_high,setting
vacc_two_doses,4.482596910078438,538.5976959993583,0.9933595082127747,-1051.1688872486639,1060.1340810688207,family
age_0-10,5.248664864883598,538.5982705933208,0.992224701402494,-1050.4039454980252,1060.9012752277922,family
age_11-18,-8.146292936034524,172.3488001561289,0.9623009736053554,-345.94994124204715,329.6573553699781,family
age_19-39,-9.992589202829818,206.44024890073018,0.9613940576552805,-414.61547704826097,394.6302986426013,family
age_40-59,-11.284643392620595,310.4015595544718,0.9709993088644551,-619.6717001193854,597.1024133341441,family
variant_Alpha,0.0,1000.0,1.0,-1960.0,1960.0,family
variant_Eta,0.0,1000.0,1.0,-1960.0,1960.0,family
variant_Delta,-4.589054027235208,756.6555218494043,0.9951609248803084,-1487.6338768520677,1478.455768797597,family
variant_Omicron,0.0,1000.0,1.0,-1960.0,1960.0,family
intercept,-0.8183856186613697,707.0157346833531,0.9990764320055908,-1386.5692255980334,1384.9324543607108,community
facial_coverings,0.6656699021702975,0.8195313054331046,0.41664427482872246,-0.9406114564785873,2.2719512608191823,community
gathering_restr,-0.6064271675337143,0.860963032303472,0.48120915478284587,-2.2939147108485196,1.0810603757810908,community
school_restr,-0.0542842024323239,0.7795930339158136,0.9444869949438517,-1.5822865489073186,1.4737181440426705,community
workplace_restr,-1.1487975872679472,0.7007317001269197,0.10112462421177035,-2.52223171951671,0.2246365449808152,community
travel_restr,0.8557724703759856,0.8470764448909395,0.312367900638306,-0.8044973616102556,2.516042302362227,community
stay_home,-1.5265566588595902e-16,3.1622934716752664,1.0,-6.198095204483522,6.198095204483522,community
school_holiday,0.1791841814135343,0.16732202970258675,0.28421703021175426,-0.14876699680353575,0.5071353596306043,community
vacc_one_dose,-0.29119224213397016,0.22611225371137647,0.19780807490837893,-0.734372259408268,0.15198777514032774,community
vacc_two_doses,-0.4327051288602954,0.2408871645370185,0.07244713777779499,-0.9048439713528517,0.03943371363226089,community
age_0-10,-0.2653865922674436,0.29239560480923593,0.36407451689772397,-0.8384819776935459,0.3077087931586588,community
age_11-18,-0.18595970708422133,0.23978939454808534,0.4380367977278439,-0.6559469203984686,0.28402750623002593,community
age_19-39,-0.4547320375900101,0.17582217716329515,0.009700742445706956,-0.7993435048300686,-0.1101205703499516,community
age_40-59,-0.4472908807425511,0.15872520364834572,0.004832072176725742,-0.7583922798933087,-0.13618948159179345,community
variant_Alpha,0.0,1000.0,1.0,-1960.0,1960.0,community
variant_Eta,0.0,1000.0,1.0,-1960.0,1960.0,community
variant_Delta,-0.8182755004017699,707.0157348269228,0.9990765562768462,-1386.5691157611705,1384.9325647603669,community
variant_Omicron,0.0,1000.0,1.0,-1960.0,1960.0,community
